RESTAURANT,McDonald's,"-8.635254, 115.222738'",Jaringan Resto Burger & Kentang Ikonik,https://cdn2.tstatic.net/bali/foto/bank/images/mcd_20160830_173831.jpg,mcd@fresto.com
MENU ,Paket Hemat Beef Prosperty Burger,"48,636","Beef with black pepper sauce sprinkled with fresh onion slices in warm sesame bread + potato wedges, Med + Star Fruits Fizz",https://everydayonsales-infomartglobal.netdna-ssl.com//wp-content/uploads/2015/12/McDonalds-Beef-Prosperity-Burger-Promotion-350x342.jpg,
MENU ,Panas 2 Spicy with Fries ,"42,272",2 pieces of MCD spicy chicken with French Fries and Medium Size Lemon Tea,https://www.mcdelivery.co.id/id/static/1579688719309/assets/62/products/111002.png,
MENU ,Iced Coffe Brown Sugar Jelly Float,"20,000",Fresh coffee iced milk with added palm sugar and vanilla ice cream,https://d1sag4ddilekf6.cloudfront.net/item/IDGFSTI000020id-CY6CJT2ARXBEGN/photos/3f10e13245124776bbb548caa1db2ce4_1578244300783206157.jpg,
MENU ,Mcflurry Oreo,"9,545",Soft vanilla ice cream with a mixture of oreo crumbs biscuits,https://d1sag4ddilekf6.cloudfront.net/item/IDGFSTI000020id-CY6CJT2AGJJTN6/photos/1a9c0363013a4049bde91826118d4357_1578244300361392486.jpg,
MENU ,Chicken Fingers,"11,818",5 pieces of savory crispy chicken pieces,https://assets-pergikuliner.com/ckuW8112Slv0cYGmfQSdTB2t-Yc=/332x0/smart/https://assets-pergikuliner.com/uploads/image/picture/977232/picture-1530726519.png ,
MENU ,Chicken Burger,"13,182","Burgers topped with sesame seeds, chicken, fresh lettuce and McChicken sauce",https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/sSRQZUDvwzjzzelthdHw.png,
RESTAURANT,BEBEK BENGIL,"-8.517812, 115.263740'",Tempat Makan dengan Nuansa Bali,https://cdn.water-sport-bali.com/wp-content/uploads/2012/07/Bebek-Bengil-Ubud-Bali.jpg,bebek_bengil@fresto.com
MENU ,bebek bengil goreng,"125,000",Served with streamed rice and balinese vegetables or sauteed pottatoes and side salad,https://ksmtour.com/media/images/articles6/bebek-bengil-khas-bali.jpg,
MENU ,Nasi campur bali,"75,000","A traditional Balinese Nasi Campur with Smoked Chicken, boiled egg, fish sate, beef curry balinese vegetables and lot more",https://www.pegipegi.com/travel/wp-content/uploads/2019/03/Nasi-Bali.jpg,
MENU ,Lumpia Bebek,"95,000","Duck spring rolls with vegetables, ginger with plum and sweet chili sauce",https://i.pinimg.com/236x/3a/46/06/3a4606030b932aec34c35c2cc4f2454c.jpg,
MENU ,bebek bakar sambal hijau,"122,000",Grilled duck with speciality green chili sambal served with sweet potato rice and vegetable,https://3.bp.blogspot.com/-_owPpsa7tjw/VyWLzDkbRJI/AAAAAAAAAEc/x8szWaDy-L0Nxs7nzfVmqt6ER9s885vUgCK4B/s320/Resep%2BBebek%2BGoreng%2BSambel%2BIjo.png,
MENU ,Ikan Bakar sambal matah,"105,000","Grilled morsel of tuna, snapper, squid and king prawn with butter and chilli sauce served with steammed rice and grilled vegetables ",https://cdns.klimg.com/dream.co.id/resources/news/2019/05/22/108449/664xauto-ikan-tilapia-bakar-sambal-matah-bikin-semangat-buka-puasa-190522l.jpg,
MENU ,Sate Lilit Platter,"116,160","Assortment of chicken, fish and duck sate with cury sauce",https://content.shopback.com/id/wp-content/uploads/2017/09/28103521/sate-lilit-bali.jpg,
RESTAURANT,Domino's Pizza,"-8.635568, 115.219746'",Jaringan Kedai Pizza pesan antar tertua,https://media-cdn.tripadvisor.com/media/photo-s/15/28/3f/84/domino-s-pizza-cuore.jpg,domino@fresto.com
MENU ,Chessy Meatball Blast Personal Hand-Tossed,"44,500","Sauce BBQ, liquid cheese sauce, onion, meatball, parsley, champignon mushroom, mozzarella",https://img.foodspot.co.id/restaurant//dominos/baru/cheesy-meatball-blast.jpg,
MENU ,American Classic Cheeseburger PAN,"91,500","Tomato sauce, mustard sauce, tomato, onion, beef crumble, beef rasher, slice cheese, mozzarella cheese",https://img.foodspot.co.id/restaurant//dominos/baru/american-classic-cheeseburger.jpg,
MENU ,FIERY Meatzza Hand-Tossed,"86,000","Sauce Domino's Pizza, beef rasher, sausage , beef crumble, beef pepperoni, chicken pepper, mozarella",https://img.foodspot.co.id/restaurant//dominos/baru/fierry-meatzza.jpg,
MENU ,Veggie Mania PAN,"91,500","Domino's Pizza sauce, onion, green pepper, corn, mushroom, black olives, tomato, parsley, mozzarella cheese",https://img.foodspot.co.id/restaurant//dominos/baru/veggie-mania.jpg,
MENU ,Beef Pepperoni Feast PAN,"77,500","Sauce Domino's Pizza, beef pepperoni, mozzarella cheese",https://img.foodspot.co.id/restaurant//dominos/baru/beef-pepperoni-feast.jpg,
MENU ,Tuna Delight Hand-Tossed,"72,000","Spicy tuna, mayonnaise, parsley, onion, red paprika, mozzarella cheese",https://img.foodspot.co.id/restaurant//dominos/baru/tuna-delight.jpg,
MENU ,Chicken Delight Large Hand-Tossed,"95,000","Sauce domino's Pizza, onion, tomato, chili chicken, parsley, mozzarella cheese",https://img.foodspot.co.id/restaurant//dominos/baru/chicken-delight.jpg,
